rank,title,rel_year,rating,url
1,The Shawshank Redemption,(1994),9.2,https://www.imdb.com/title/tt0111161/
2,The Godfather,(1972),9.1,https://www.imdb.com/title/tt0068646/
3,The Godfather: Part II,(1974),9.0,https://www.imdb.com/title/tt0071562/
4,The Dark Knight,(2008),9.0,https://www.imdb.com/title/tt0468569/
5,12 Angry Men,(1957),8.9,https://www.imdb.com/title/tt0050083/
6,Schindler's List,(1993),8.9,https://www.imdb.com/title/tt0108052/
7,The Lord of the Rings: The Return of the King,(2003),8.9,https://www.imdb.com/title/tt0167260/
8,Pulp Fiction,(1994),8.8,https://www.imdb.com/title/tt0110912/
9,"Il buono, il brutto, il cattivo",(1966),8.8,https://www.imdb.com/title/tt0060196/
10,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,https://www.imdb.com/title/tt0120737/
11,Fight Club,(1999),8.8,https://www.imdb.com/title/tt0137523/
12,Forrest Gump,(1994),8.8,https://www.imdb.com/title/tt0109830/
13,Inception,(2010),8.7,https://www.imdb.com/title/tt1375666/
14,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,https://www.imdb.com/title/tt0080684/
15,The Lord of the Rings: The Two Towers,(2002),8.7,https://www.imdb.com/title/tt0167261/
16,The Matrix,(1999),8.6,https://www.imdb.com/title/tt0133093/
17,Goodfellas,(1990),8.6,https://www.imdb.com/title/tt0099685/
18,One Flew Over the Cuckoo's Nest,(1975),8.6,https://www.imdb.com/title/tt0073486/
19,Shichinin no samurai,(1954),8.6,https://www.imdb.com/title/tt0047478/
20,Se7en,(1995),8.6,https://www.imdb.com/title/tt0114369/
21,La vita è bella,(1997),8.6,https://www.imdb.com/title/tt0118799/
22,Cidade de Deus,(2002),8.6,https://www.imdb.com/title/tt0317248/
23,The Silence of the Lambs,(1991),8.6,https://www.imdb.com/title/tt0102926/
24,It's a Wonderful Life,(1946),8.6,https://www.imdb.com/title/tt0038650/
25,Star Wars,(1977),8.6,https://www.imdb.com/title/tt0076759/
26,Saving Private Ryan,(1998),8.5,https://www.imdb.com/title/tt0120815/
27,Sen to Chihiro no kamikakushi,(2001),8.5,https://www.imdb.com/title/tt0245429/
28,The Green Mile,(1999),8.5,https://www.imdb.com/title/tt0120689/
29,Gisaengchung,(2019),8.5,https://www.imdb.com/title/tt6751668/
30,Interstellar,(2014),8.5,https://www.imdb.com/title/tt0816692/
31,Hamilton,(2020),8.5,https://www.imdb.com/title/tt8503618/
32,Léon,(1994),8.5,https://www.imdb.com/title/tt0110413/
33,The Usual Suspects,(1995),8.5,https://www.imdb.com/title/tt0114814/
34,Seppuku,(1962),8.5,https://www.imdb.com/title/tt0056058/
35,The Lion King,(1994),8.5,https://www.imdb.com/title/tt0110357/
36,Back to the Future,(1985),8.5,https://www.imdb.com/title/tt0088763/
37,The Pianist,(2002),8.5,https://www.imdb.com/title/tt0253474/
38,Terminator 2: Judgment Day,(1991),8.5,https://www.imdb.com/title/tt0103064/
39,American History X,(1998),8.5,https://www.imdb.com/title/tt0120586/
40,Modern Times,(1936),8.5,https://www.imdb.com/title/tt0027977/
41,Psycho,(1960),8.5,https://www.imdb.com/title/tt0054215/
42,Gladiator,(2000),8.5,https://www.imdb.com/title/tt0172495/
43,City Lights,(1931),8.5,https://www.imdb.com/title/tt0021749/
44,The Departed,(2006),8.5,https://www.imdb.com/title/tt0407887/
45,The Intouchables,(2011),8.5,https://www.imdb.com/title/tt1675434/
46,Whiplash,(2014),8.5,https://www.imdb.com/title/tt2582802/
47,The Prestige,(2006),8.5,https://www.imdb.com/title/tt0482571/
48,Hotaru no haka,(1988),8.5,https://www.imdb.com/title/tt0095327/
49,Once Upon a Time in the West,(1968),8.5,https://www.imdb.com/title/tt0064116/
50,Casablanca,(1942),8.4,https://www.imdb.com/title/tt0034583/
51,Nuovo Cinema Paradiso,(1988),8.4,https://www.imdb.com/title/tt0095765/
52,Rear Window,(1954),8.4,https://www.imdb.com/title/tt0047396/
53,Alien,(1979),8.4,https://www.imdb.com/title/tt0078748/
54,Apocalypse Now,(1979),8.4,https://www.imdb.com/title/tt0078788/
55,Memento,(2000),8.4,https://www.imdb.com/title/tt0209144/
56,Raiders of the Lost Ark,(1981),8.4,https://www.imdb.com/title/tt0082971/
57,The Great Dictator,(1940),8.4,https://www.imdb.com/title/tt0032553/
58,Joker,(2019),8.4,https://www.imdb.com/title/tt7286456/
59,Django Unchained,(2012),8.4,https://www.imdb.com/title/tt1853728/
60,The Lives of Others,(2006),8.4,https://www.imdb.com/title/tt0405094/
61,Paths of Glory,(1957),8.4,https://www.imdb.com/title/tt0050825/
62,The Shining,(1980),8.4,https://www.imdb.com/title/tt0081505/
63,WALL·E,(2008),8.4,https://www.imdb.com/title/tt0910970/
64,Avengers: Infinity War,(2018),8.4,https://www.imdb.com/title/tt4154756/
65,Sunset Blvd.,(1950),8.4,https://www.imdb.com/title/tt0043014/
66,Mononoke-hime,(1997),8.4,https://www.imdb.com/title/tt0119698/
67,Spider-Man: Into the Spider-Verse,(2018),8.4,https://www.imdb.com/title/tt4633694/
68,Witness for the Prosecution,(1957),8.4,https://www.imdb.com/title/tt0051201/
69,Oldeuboi,(2003),8.4,https://www.imdb.com/title/tt0364569/
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4,https://www.imdb.com/title/tt0057012/
71,The Dark Knight Rises,(2012),8.3,https://www.imdb.com/title/tt1345836/
72,Once Upon a Time in America,(1984),8.3,https://www.imdb.com/title/tt0087843/
73,Avengers: Endgame,(2019),8.3,https://www.imdb.com/title/tt4154796/
74,Aliens,(1986),8.3,https://www.imdb.com/title/tt0090605/
75,Kimi no na wa.,(2016),8.3,https://www.imdb.com/title/tt5311514/
76,Coco,(2017),8.3,https://www.imdb.com/title/tt2380307/
77,American Beauty,(1999),8.3,https://www.imdb.com/title/tt0169547/
78,Braveheart,(1995),8.3,https://www.imdb.com/title/tt0112573/
79,3 Idiots,(2009),8.3,https://www.imdb.com/title/tt1187043/
80,Das Boot,(1981),8.3,https://www.imdb.com/title/tt0082096/
81,Toy Story,(1995),8.3,https://www.imdb.com/title/tt0114709/
82,Tengoku to jigoku,(1963),8.3,https://www.imdb.com/title/tt0057565/
83,Amadeus,(1984),8.3,https://www.imdb.com/title/tt0086879/
84,Taare Zameen Par,(2007),8.3,https://www.imdb.com/title/tt0986264/
85,Star Wars: Episode VI - Return of the Jedi,(1983),8.3,https://www.imdb.com/title/tt0086190/
86,Inglourious Basterds,(2009),8.3,https://www.imdb.com/title/tt0361748/
87,Reservoir Dogs,(1992),8.3,https://www.imdb.com/title/tt0105236/
